dateindex,date,date_integer,AG,AR,AI,BL,BS,BE,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SZ,SO,TI,TG,UR,VD,VS,ZG,ZH
2015-12-27,2015-12-27,119,5.0,,,7.0,12.0,7.0,6.0,3.0,,19.0,,7.0,,,,7.0,,15.0,10.0,5.0,8.0,100.0,3.0,,18.0,6.0
2015-12-28,2015-12-28,120,66.0,,,76.0,43.0,46.0,,16.0,,89.0,,19.0,,,,45.0,100.0,,64.0,,100.0,,10.0,,,39.0
2015-12-29,2015-12-29,121,7.0,,,9.0,10.0,14.0,,2.0,,8.0,,14.0,,55.0,,10.0,27.0,38.0,18.0,,10.0,100.0,2.0,,10.0,9.0
2015-12-30,2015-12-30,122,21.0,,,,19.0,25.0,,,,20.0,,27.0,,,,30.0,66.0,100.0,18.0,,56.0,,5.0,13.0,27.0,17.0
2015-12-31,2015-12-31,123,22.0,,,39.0,17.0,31.0,,11.0,,,,41.0,45.0,,,31.0,,,31.0,,100.0,,10.0,,,27.0
2016-01-01,2016-01-01,124,18.0,,,59.0,28.0,32.0,21.0,11.0,,59.0,,33.0,53.0,,,28.0,,,43.0,,100.0,,5.0,,81.0,27.0
2016-01-02,2016-01-02,125,9.0,,,9.0,19.0,7.0,6.0,4.0,100.0,6.0,,10.0,,,,7.0,62.0,17.0,6.0,5.0,15.0,,,7.0,30.0,11.0
2016-01-03,2016-01-03,126,19.0,76.0,,19.0,6.0,16.0,7.0,,84.0,22.0,,13.0,,,,21.0,28.0,35.0,9.0,5.0,11.0,100.0,,6.0,26.0,13.0
2016-01-04,2016-01-04,127,17.0,,,14.0,15.0,10.0,11.0,2.0,,16.0,50.0,15.0,,58.0,,21.0,,29.0,14.0,11.0,33.0,100.0,2.0,,21.0,17.0
2016-01-05,2016-01-05,128,12.0,100.0,,9.0,13.0,16.0,7.0,2.0,,34.0,,22.0,8.0,,,26.0,33.0,20.0,23.0,5.0,28.0,,2.0,,24.0,19.0
2016-01-06,2016-01-06,129,16.0,,,12.0,10.0,15.0,6.0,2.0,,15.0,,19.0,,53.0,79.0,23.0,28.0,,29.0,5.0,15.0,100.0,1.0,6.0,15.0,14.0
2016-01-07,2016-01-07,130,21.0,,,21.0,22.0,24.0,22.0,12.0,,12.0,,34.0,,,,16.0,100.0,29.0,40.0,23.0,34.0,,2.0,21.0,25.0,23.0
2016-01-08,2016-01-08,131,5,37,100,5,2,4,2,,,7,,5,,,27,4,8,,4,,4,,<1,2,3,3
2016-01-09,2016-01-09,132,12.0,66.0,,22.0,19.0,5.0,6.0,6.0,,17.0,,15.0,,,100.0,16.0,30.0,16.0,,,14.0,,1.0,,18.0,12.0
2016-01-10,2016-01-10,133,5.0,16.0,100.0,5.0,3.0,5.0,2.0,1.0,,8.0,,2.0,,,,3.0,15.0,14.0,7.0,,3.0,,,,7.0,3.0
2016-01-11,2016-01-11,134,24.0,,,34.0,13.0,10.0,17.0,2.0,100.0,21.0,,24.0,10.0,82.0,,28.0,39.0,45.0,17.0,6.0,26.0,,2.0,,14.0,20.0
