,canton,search_wohnung,date
365,Uri,95.0,2017-12-26
366,Obwalden,82.0,2017-12-26
367,Appenzell Ausserrhoden,70.0,2017-12-26
368,Zug,64.0,2017-12-26
369,Sankt Gallen,56.0,2017-12-26
370,Schwyz,50.0,2017-12-26
371,Jura,50.0,2017-12-26
372,Schaffhausen,50.0,2017-12-26
373,Thurgau,50.0,2017-12-26
374,Basel-Landschaft,42.0,2017-12-26
375,Zürich,30.0,2017-12-26
376,Bern,30.0,2017-12-26
377,Aargau,28.0,2017-12-26
378,Basel-Stadt,28.0,2017-12-26
379,Freiburg,25.0,2017-12-26
380,Solothurn,21.0,2017-12-26
381,Graubünden,19.0,2017-12-26
382,Luzern,18.0,2017-12-26
383,Wallis,17.0,2017-12-26
384,Waadt,8.0,2017-12-26
385,Appenzell Innerrhoden,,2017-12-26
386,Genf,,2017-12-26
387,Glarus,,2017-12-26
388,Neuenburg,,2017-12-26
389,Tessin,,2017-12-26
390,Nidwalden,100.0,2018-02-15
391,Obwalden,96.0,2018-02-15
392,Schwyz,95.0,2018-02-15
393,Appenzell Ausserrhoden,90.0,2018-02-15
394,Aargau,86.0,2018-02-15
395,Basel-Landschaft,73.0,2018-02-15
396,Thurgau,66.0,2018-02-15
397,Bern,61.0,2018-02-15
398,Jura,61.0,2018-02-15
399,Sankt Gallen,60.0,2018-02-15
400,Schaffhausen,56.0,2018-02-15
401,Zürich,50.0,2018-02-15
402,Graubünden,49.0,2018-02-15
403,Zug,49.0,2018-02-15
404,Solothurn,48.0,2018-02-15
405,Luzern,43.0,2018-02-15
406,Basel-Stadt,26.0,2018-02-15
407,Tessin,17.0,2018-02-15
408,Wallis,10.0,2018-02-15
409,Waadt,9.0,2018-02-15
410,Appenzell Innerrhoden,,2018-02-15
411,Freiburg,,2018-02-15
412,Genf,,2018-02-15
413,Glarus,,2018-02-15
414,Neuenburg,,2018-02-15
415,Uri,,2018-02-15
416,Obwalden,100.0,2015-10-07
417,Uri,82.0,2015-10-07
418,Schaffhausen,19.0,2015-10-07
419,Solothurn,17.0,2015-10-07
420,Graubünden,14.0,2015-10-07
421,Thurgau,14.0,2015-10-07
422,Schwyz,12.0,2015-10-07
423,Bern,8.0,2015-10-07
424,Zürich,8.0,2015-10-07
425,Zug,7.0,2015-10-07
426,Sankt Gallen,6.0,2015-10-07
427,Freiburg,5.0,2015-10-07
428,Aargau,5.0,2015-10-07
429,Basel-Stadt,4.0,2015-10-07
430,Luzern,4.0,2015-10-07
431,Genf,1.0,2015-10-07
432,Appenzell Innerrhoden,,2015-10-07
433,Appenzell Ausserrhoden,,2015-10-07
434,Basel-Landschaft,,2015-10-07
435,Glarus,,2015-10-07
436,Jura,,2015-10-07
437,Neuenburg,,2015-10-07
438,Nidwalden,,2015-10-07
439,Tessin,,2015-10-07
440,Waadt,,2015-10-07
441,Wallis,,2015-10-07
442,Nidwalden,100.0,2016-03-06
443,Schwyz,48.0,2016-03-06
444,Basel-Stadt,23.0,2016-03-06
445,Thurgau,23.0,2016-03-06
446,Sankt Gallen,23.0,2016-03-06
447,Luzern,20.0,2016-03-06
448,Aargau,17.0,2016-03-06
449,Graubünden,16.0,2016-03-06
450,Zürich,15.0,2016-03-06
451,Freiburg,14.0,2016-03-06
452,Zug,14.0,2016-03-06
453,Bern,12.0,2016-03-06
454,Basel-Landschaft,10.0,2016-03-06
455,Solothurn,7.0,2016-03-06
456,Wallis,6.0,2016-03-06
457,Tessin,6.0,2016-03-06
458,Waadt,3.0,2016-03-06
459,Appenzell Innerrhoden,,2016-03-06
460,Appenzell Ausserrhoden,,2016-03-06
461,Genf,,2016-03-06
462,Glarus,,2016-03-06
463,Jura,,2016-03-06
464,Neuenburg,,2016-03-06
465,Obwalden,,2016-03-06
466,Schaffhausen,,2016-03-06
467,Uri,,2016-03-06
468,Schwyz,100.0,2016-11-15
469,Uri,98.0,2016-11-15
470,Appenzell Ausserrhoden,73.0,2016-11-15
471,Schaffhausen,56.0,2016-11-15
472,Zug,32.0,2016-11-15
473,Thurgau,32.0,2016-11-15
474,Basel-Landschaft,30.0,2016-11-15
475,Graubünden,22.0,2016-11-15
476,Sankt Gallen,22.0,2016-11-15
477,Bern,21.0,2016-11-15
478,Basel-Stadt,21.0,2016-11-15
479,Zürich,20.0,2016-11-15
480,Luzern,20.0,2016-11-15
481,Aargau,13.0,2016-11-15
482,Solothurn,13.0,2016-11-15
483,Freiburg,9.0,2016-11-15
484,Genf,7.0,2016-11-15
485,Tessin,6.0,2016-11-15
486,Waadt,2.0,2016-11-15
487,Appenzell Innerrhoden,,2016-11-15
488,Glarus,,2016-11-15
489,Jura,,2016-11-15
490,Neuenburg,,2016-11-15
491,Nidwalden,,2016-11-15
492,Obwalden,,2016-11-15
493,Wallis,,2016-11-15
494,Appenzell Innerrhoden,100.0,2017-05-18
495,Glarus,49.0,2017-05-18
496,Schwyz,17.0,2017-05-18
497,Schaffhausen,14.0,2017-05-18
498,Basel-Landschaft,11.0,2017-05-18
499,Sankt Gallen,11.0,2017-05-18
500,Aargau,10.0,2017-05-18
501,Basel-Stadt,9.0,2017-05-18
502,Thurgau,9.0,2017-05-18
503,Luzern,7.0,2017-05-18
504,Bern,7.0,2017-05-18
505,Zürich,7.0,2017-05-18
506,Solothurn,6.0,2017-05-18
507,Graubünden,5.0,2017-05-18
508,Zug,5.0,2017-05-18
509,Freiburg,3.0,2017-05-18
