dateindex,date,date_integer,ZH
2017-06-28,2017-06-28,668,16.0
2017-06-29,2017-06-29,669,29.0
2017-06-30,2017-06-30,670,14.0
2017-07-01,2017-07-01,671,3.0
2017-07-02,2017-07-02,672,32.0
2017-07-03,2017-07-03,673,8.0
2017-07-04,2017-07-04,674,18.0
2017-07-05,2017-07-05,675,7.0
2017-07-06,2017-07-06,676,8.0
2017-07-07,2017-07-07,677,24.0
2017-07-08,2017-07-08,678,7.0
2017-07-09,2017-07-09,679,25.0
2017-07-10,2017-07-10,680,23.0
2017-07-11,2017-07-11,681,16.0
2017-07-12,2017-07-12,682,6.0
2017-07-13,2017-07-13,683,15.0
2017-07-14,2017-07-14,684,16.0
2017-07-15,2017-07-15,685,13.0
2017-07-16,2017-07-16,686,21.0
2017-07-17,2017-07-17,687,24.0
2017-07-18,2017-07-18,688,16.0
2017-07-19,2017-07-19,689,22.0
2017-07-20,2017-07-20,690,22.0
2017-07-21,2017-07-21,691,31.0
2017-07-22,2017-07-22,692,15.0
2017-07-23,2017-07-23,693,4.0
2017-07-24,2017-07-24,694,11.0
2017-07-25,2017-07-25,695,12.0
2017-07-26,2017-07-26,696,22.0
2017-07-27,2017-07-27,697,17.0
