dateindex,date,date_integer,BE
2017-03-02,2017-03-02,550,22.0
2017-03-03,2017-03-03,551,20.0
2017-03-04,2017-03-04,552,35.0
2017-03-05,2017-03-05,553,24.0
2017-03-06,2017-03-06,554,26.0
2017-03-07,2017-03-07,555,41.0
2017-03-08,2017-03-08,556,18.0
2017-03-09,2017-03-09,557,18.0
2017-03-10,2017-03-10,558,19.0
2017-03-11,2017-03-11,559,52.0
2017-03-12,2017-03-12,560,7.0
2017-03-13,2017-03-13,561,14.0
2017-03-14,2017-03-14,562,38.0
2017-03-15,2017-03-15,563,15.0
2017-03-16,2017-03-16,564,15.0
2017-03-17,2017-03-17,565,7.0
2017-03-18,2017-03-18,566,13.0
2017-03-19,2017-03-19,567,14.0
2017-03-20,2017-03-20,568,9.0
2017-03-21,2017-03-21,569,25.0
2017-03-22,2017-03-22,570,14.0
2017-03-23,2017-03-23,571,20.0
2017-03-24,2017-03-24,572,25.0
2017-03-25,2017-03-25,573,17.0
2017-03-26,2017-03-26,574,20.0
2017-03-27,2017-03-27,575,8.0
2017-03-28,2017-03-28,576,6.0
2017-03-29,2017-03-29,577,21.0
2017-03-30,2017-03-30,578,21.0
2017-03-31,2017-03-31,579,11.0
2017-04-01,2017-04-01,580,12.0
2017-04-02,2017-04-02,581,7.0
2017-04-03,2017-04-03,582,26.0
2017-04-04,2017-04-04,583,27.0
2017-04-05,2017-04-05,584,13.0
2017-04-06,2017-04-06,585,18.0
2017-04-07,2017-04-07,586,27.0
2017-04-08,2017-04-08,587,10.0
2017-04-09,2017-04-09,588,20.0
2017-04-10,2017-04-10,589,18.0
2017-04-11,2017-04-11,590,21.0
2017-04-12,2017-04-12,591,6.0
2017-04-13,2017-04-13,592,14.0
2017-04-14,2017-04-14,593,22.0
2017-04-15,2017-04-15,594,10.0
2017-04-16,2017-04-16,595,15.0
2017-04-17,2017-04-17,596,4.0
2017-04-18,2017-04-18,597,23.0
2017-04-19,2017-04-19,598,30.0
2017-04-20,2017-04-20,599,12.0
2017-04-21,2017-04-21,600,10.0
2017-04-22,2017-04-22,601,22.0
2017-04-23,2017-04-23,602,18.0
2017-04-24,2017-04-24,603,10.0
2017-04-25,2017-04-25,604,43.0
2017-04-26,2017-04-26,605,21.0
2017-04-27,2017-04-27,606,15.0
2017-04-28,2017-04-28,607,15.0
2017-04-29,2017-04-29,608,4.0
2017-04-30,2017-04-30,609,14.0
2017-05-01,2017-05-01,610,27.0
2017-05-02,2017-05-02,611,34.0
2017-05-03,2017-05-03,612,17.0
2017-05-04,2017-05-04,613,14.0
2017-05-05,2017-05-05,614,8.0
2017-05-06,2017-05-06,615,9.0
2017-05-07,2017-05-07,616,12.0
2017-05-08,2017-05-08,617,24.0
2017-05-09,2017-05-09,618,10.0
2017-05-10,2017-05-10,619,9.0
2017-05-11,2017-05-11,620,11.0
2017-05-12,2017-05-12,621,14.0
2017-05-13,2017-05-13,622,15.0
2017-05-14,2017-05-14,623,21.0
2017-05-15,2017-05-15,624,12.0
2017-05-16,2017-05-16,625,9.0
2017-05-17,2017-05-17,626,20.0
2017-05-18,2017-05-18,627,7.0
2017-05-19,2017-05-19,628,14.0
2017-05-20,2017-05-20,629,16.0
2017-05-21,2017-05-21,630,30.0
2017-05-22,2017-05-22,631,21.0
2017-05-23,2017-05-23,632,13.0
2017-05-24,2017-05-24,633,15.0
2017-05-25,2017-05-25,634,27.0
2017-05-26,2017-05-26,635,11.0
2017-05-27,2017-05-27,636,25.0
2017-05-28,2017-05-28,637,11.0
2017-05-29,2017-05-29,638,17.0
2017-05-30,2017-05-30,639,18.0
2017-05-31,2017-05-31,640,11.0
2017-06-01,2017-06-01,641,20.0
2017-06-02,2017-06-02,642,13.0
2017-06-03,2017-06-03,643,12.0
2017-06-04,2017-06-04,644,64.0
2017-06-05,2017-06-05,645,7.0
2017-06-06,2017-06-06,646,24.0
2017-06-07,2017-06-07,647,10.0
2017-06-08,2017-06-08,648,9.0
2017-06-09,2017-06-09,649,5.0
2017-06-10,2017-06-10,650,36.0
2017-06-11,2017-06-11,651,31.0
2017-06-12,2017-06-12,652,8.0
2017-06-13,2017-06-13,653,15.0
2017-06-14,2017-06-14,654,48.0
2017-06-15,2017-06-15,655,58.0
2017-06-16,2017-06-16,656,11.0
2017-06-17,2017-06-17,657,15.0
2017-06-18,2017-06-18,658,21.0
2017-06-19,2017-06-19,659,22.0
2017-06-20,2017-06-20,660,34.0
2017-06-21,2017-06-21,661,10.0
2017-06-22,2017-06-22,662,20.0
2017-06-23,2017-06-23,663,6.0
2017-06-24,2017-06-24,664,7.0
2017-06-25,2017-06-25,665,15.0
2017-06-26,2017-06-26,666,15.0
2017-06-27,2017-06-27,667,18.0
2017-06-28,2017-06-28,668,21.0
2017-06-29,2017-06-29,669,34.0
2017-06-30,2017-06-30,670,19.0
2017-07-01,2017-07-01,671,3.0
2017-07-02,2017-07-02,672,26.0
2017-07-03,2017-07-03,673,7.0
2017-07-04,2017-07-04,674,14.0
2017-07-05,2017-07-05,675,7.0
2017-07-06,2017-07-06,676,11.0
2017-07-07,2017-07-07,677,19.0
2017-07-08,2017-07-08,678,11.0
2017-07-09,2017-07-09,679,24.0
2017-07-10,2017-07-10,680,21.0
2017-07-11,2017-07-11,681,16.0
2017-07-12,2017-07-12,682,6.0
2017-07-13,2017-07-13,683,16.0
2017-07-14,2017-07-14,684,18.0
2017-07-15,2017-07-15,685,11.0
2017-07-16,2017-07-16,686,20.0
2017-07-17,2017-07-17,687,20.0
2017-07-18,2017-07-18,688,26.0
2017-07-19,2017-07-19,689,17.0
2017-07-20,2017-07-20,690,14.0
2017-07-21,2017-07-21,691,47.0
2017-07-22,2017-07-22,692,17.0
2017-07-23,2017-07-23,693,2.0
2017-07-24,2017-07-24,694,7.0
2017-07-25,2017-07-25,695,14.0
2017-07-26,2017-07-26,696,20.0
2017-07-27,2017-07-27,697,16.0
